फल सब्जी भी तो हइब्रीड होती जा रही भाई जिसमे कोई भी अच्छे तत्व नही होते ।  समय बुरा आता जा रहा ।,Negative-fear
"मेरे मे ज्यादातर लक्षण है, क्या करू?",Negative-fear
बेहिसाब खुजली का कोई तोड़ है तो प्लीज दीजिए🙏,Negative-sadness
बहुत अच्छा काम कर रहे हो,Positive-Trust
हमको तो सभी बीमारी है शायद 😂😂😂😂😂😂,satire-satire
एकदम बडीय 👍 👌,Positive-Trust
बहुत सुंदर प्रस्तुति दी है जी,Positive-Trust
भाई जैविक भी हो खाना,Nuetral
"राजीव दिक्षित जैसें महान आत्मा की पृथ्वी पर बहुत कमी है
जय श्री राम","Positive-Trust, Negative-sadness"
बहुत सुंदर,Positive-Trust
सर अपने बहुत अच्छी,"Positive-Trust, Nuetral"
जानकारी दी है,Nuetral
बहुत अच्छे से समझाया  है । बहुत बहुत धन्यवाद  ।,Positive-Trust
भाई आप बोलते बहुत अच्छा हो,Positive-Trust
कुछ चूतिये तो सिर्फ डिसलाइक करने के लिए गाँड़ मरवाने आते है।,Negative-Anger
"भाई बहुत कम टाइम में आप बहुत ज्यादा ज्ञान दे देते हो इसके लिए आपका धन्यवाद।
और राजीव दीक्षित जी के बताए नुक्से भी बताते हो आप बहुत अच्छा लगा आपकी वीडियो देखकर के,,, धन्यवाद","Positive-Joy, Positive-Trust"
बढ़िया बात बताई यार।,Positive-Trust
सर मेरे आंख के नीचे मसा टाइप का छोटा छोटा दाना हो रहा है क्या करें,Negative-fear
🙏,Positive-Trust
ये कोनसी शक्कर है....,Positive-Surprise
नींद से उठते बदन दर्द होता है.,Negative-sadness
ठीक है,Nuetral
थँक्यू सर बहुत आभारी हाय,Positive-Trust
बदन में छोटे छोटे मसे निकलने का क्या मतलब होता है,Negative-fear
इस हिसाब से तो मेरे में सारी बीमारी है 😐🤥,"Negative-sadness, Negative-fear"
आज कल तो कोई भी खाद्य पदार्थ बिना रासायनिक पदार्थ के नहीं है,Negative-Anger
भिडियो देखनेसे एसा लगता है की हमको  सभी बिमारी है😂😂😂😂,satire-satire
नाखून पर वर्टीकल  लाइन्स का कारण  आयरन है या थाइरोइड है ?,Negative-fear
मै आपकी हर वीडीओ को देखता व शेयर करता हूं!! लगे रहो मेरे भाई,"Positive-Joy, Positive-Trust"
नाखून में लाइनिंग सीधे आने का कारण,Negative-fear
मेरी आवाज साफ नही आ रही है क्या करू,Negative-fear
"मुझे तो ये सारी ही कमिया है 

क्या करू

खाना भी घर का ही खाता हूं","Negative-sadness, Negative-fear"
भाई हस्तमैथुन हानिकारक है या फायदेमंद उसपे वीडियो बनाओ,"Negative-fear, Nuetral"
थैंक्स भाई,Positive-Trust
सर हमारे पुरे शरीर में ट्यूमर हो गया है आप बताइए हम क्या करें 🙏🙏,Negative-fear
भैया ये सब जायदा सेक्स करने से होता है नई,Nuetral
"आपका उपचार जो कर लेगा, वो साल भर डॉ के पास जाने से बच जाएगा। बहुत बहुत धन्यवाद सर। ईश्वर आपको सुखी रखे।",Positive-Trust
"कमर में दर्द होता है
 दूर का दिखना बन्द होता जा रहा है
 क्या करें प्लीज बताइये","Negative-sadness, Negative-fear"
मान गए भाई.. ग़ज़ब,Positive-Trust
वेरी नाइस इंफॉर्मेशन,Positive-Trust
ऐसा मुझे भी लगता की सारी बीमारी है 🥰🥰😍😍😍🥰🥰😍😍🤩🥳🤩🤩🤩🤩🤩🤩🤩,satire-satire
पहले आपने कहा कि विटामिन सी की कमी से मुँह में अल्सर होता है उसके बाद कहा विटामिन बी2 की कमी से । कौन सा सही है।,Nuetral
बहुत शानदार,Positive-Trust
मुझे सिर्फ हेयर फॉल की प्रोब्ल है बाकी सब ठीक है ।,"Positive-Joy, Negative-sadness"
हमको तो बहुत सारा बीमारी है रे बाबा।,Negative-fear
मामा अर्थ.. इंडियन ब्रांड है क्या??,Nuetral
कहीं तुमने रेल्वे की समान्य विज्ञान तो नहीं देक ली 😂😂,satire-satire
हमने हमारे आयुर्वेद को नजरअंदाज किया है हमारा आयुर्वेद सबसे बेहतर उपचार है।,"Positive-Joy, Positive-Trust, Negative-sadness"
प्लीज नेचुरल मल्टीविटामिन बताइये कोई,Nuetral
क्यूँकि हम सारा दिन खाते रहें तो भी विटामिन की कमी पूरी नहीं हो सकती और कुछ विटामिन तो ऐसे हैं जिसे हमारी बॉडी बना भी नहीं पाती,"Negative-Anger, Negative-sadness"
